Project Name,Package Name,Type Name,Method Name,Code Smell
argouml,uci.argo.kernel,Designer,disruptiveThreshold,Magic Number
argouml,uci.argo.kernel,History,fireHistoryAdded,Magic Number
argouml,uci.argo.kernel,History,fireHistoryAdded,Magic Number
argouml,uci.argo.kernel,HushOrder,HushOrder,Magic Number
argouml,uci.argo.kernel,HushOrder,HushOrder,Magic Number
argouml,uci.argo.kernel,HushOrder,unhush,Magic Number
argouml,uci.argo.kernel,HushOrder,nextInterval,Magic Number
argouml,uci.argo.kernel,ToDoItem,ToDoItem,Long Parameter List
argouml,uci.argo.kernel,ToDoList,run,Magic Number
argouml,uci.argo.kernel,ToDoList,notifyObservers,Magic Number
argouml,uci.argo.kernel,ToDoList,fireToDoListChanged,Magic Number
argouml,uci.argo.kernel,ToDoList,fireToDoListChanged,Magic Number
argouml,uci.argo.kernel,ToDoList,fireToDoItemAdded,Magic Number
argouml,uci.argo.kernel,ToDoList,fireToDoItemAdded,Magic Number
argouml,uci.argo.kernel,ToDoList,fireToDoItemRemoved,Magic Number
argouml,uci.argo.kernel,ToDoList,fireToDoItemRemoved,Magic Number
argouml,uci.beans.editors,ColorEditor,ColorEditor,Magic Number
argouml,uci.beans.editors,ColorEditor,ColorEditor,Magic Number
argouml,uci.beans.editors,ColorEditor,paintValue,Magic Number
argouml,uci.beans.editors,ColorEditor,paintValue,Magic Number
argouml,uci.beans.editors,ColorPickerGrid,ColorPickerGrid,Magic Number
argouml,uci.beans.editors,ColorPickerGrid,ColorPickerGrid,Magic Number
argouml,uci.beans.editors,ColorPickerGrid,updateStatusLabel,Magic Number
argouml,uci.beans.editors,ColorPickerGrid,updateStatusLabel,Magic Number
argouml,uci.beans.editors,ColorPickerGrid,updateStatusLabel,Magic Number
argouml,uci.beans.editors,ColorTilePanel,showSelection,Long Statement
argouml,uci.beans.editors,ColorTilePanel,showSelection,Magic Number
argouml,uci.beans.editors,ColorTilePanel,showSelection,Magic Number
argouml,uci.beans.editors,ColorTilePanel,showSelection,Magic Number
argouml,uci.beans.editors,ColorTilePanel,showSelection,Magic Number
argouml,uci.beans.editors,ColorTilePanel,showSelection,Magic Number
argouml,uci.beans.editors,ColorTilePanel,showSelection,Magic Number
argouml,uci.beans.editors,ColorTilePanel,minimumSize,Magic Number
argouml,uci.beans.editors,ColorTilePanel,netscapeColors,Magic Number
